Date,Time,Place,Crowd_Count,Weather,Day_of_Week,Holiday,Event,Temperature (°C),Week_of_Year,Region
2025-01-06,15:00,Red Fort,1010,Pleasant,Monday,No,None,18.8,2,Delhi NCR
2025-01-06,16:00,Red Fort,768,Pleasant,Monday,No,None,20.0,2,Delhi NCR
2025-01-07,09:00,Red Fort,768,Pleasant,Tuesday,No,None,11.6,2,Delhi NCR
2025-01-07,10:00,Red Fort,1010,Pleasant,Tuesday,No,None,12.8,2,Delhi NCR
2025-01-07,11:00,Red Fort,1253,Pleasant,Tuesday,No,None,14.0,2,Delhi NCR
2025-01-07,12:00,Red Fort,1494,Pleasant,Tuesday,No,None,15.2,2,Delhi NCR
2025-01-07,13:00,Red Fort,1495,Pleasant,Tuesday,No,None,16.4,2,Delhi NCR
2025-01-07,14:00,Red Fort,1253,Pleasant,Tuesday,No,None,17.6,2,Delhi NCR
2025-01-07,15:00,Red Fort,1010,Pleasant,Tuesday,No,None,18.8,2,Delhi NCR
2025-01-07,16:00,Red Fort,768,Pleasant,Tuesday,No,None,20.0,2,Delhi NCR
2025-01-08,09:00,Red Fort,768,Pleasant,Wednesday,No,None,11.6,2,Delhi NCR
2025-01-08,10:00,Red Fort,1010,Pleasant,Wednesday,No,None,12.8,2,Delhi NCR
2025-01-08,11:00,Red Fort,1253,Pleasant,Wednesday,No,None,14.0,2,Delhi NCR
2025-01-08,12:00,Red Fort,1494,Pleasant,Wednesday,No,None,15.2,2,Delhi NCR
2025-01-08,13:00,Red Fort,1495,Pleasant,Wednesday,No,None,16.4,2,Delhi NCR
2025-01-08,14:00,Red Fort,1253,Pleasant,Wednesday,No,None,17.6,2,Delhi NCR
2025-01-08,15:00,Red Fort,1010,Pleasant,Wednesday,No,None,18.8,2,Delhi NCR
2025-01-08,16:00,Red Fort,768,Pleasant,Wednesday,No,None,20.0,2,Delhi NCR
2025-01-09,09:00,Red Fort,768,Pleasant,Thursday,No,None,11.6,2,Delhi NCR
2025-01-09,10:00,Red Fort,1010,Pleasant,Thursday,No,None,12.8,2,Delhi NCR
2025-01-09,11:00,Red Fort,1253,Pleasant,Thursday,No,None,14.0,2,Delhi NCR
2025-01-09,12:00,Red Fort,1494,Pleasant,Thursday,No,None,15.2,2,Delhi NCR
2025-01-09,13:00,Red Fort,1495,Pleasant,Thursday,No,None,16.4,2,Delhi NCR
2025-01-09,14:00,Red Fort,1253,Pleasant,Thursday,No,None,17.6,2,Delhi NCR
2025-01-09,15:00,Red Fort,1010,Pleasant,Thursday,No,None,18.8,2,Delhi NCR
2025-01-09,16:00,Red Fort,768,Pleasant,Thursday,No,None,20.0,2,Delhi NCR
2025-01-10,09:00,Red Fort,844,Pleasant,Friday,No,None,11.6,2,Delhi NCR
2025-01-10,10:00,Red Fort,1111,Pleasant,Friday,No,None,12.8,2,Delhi NCR
2025-01-10,11:00,Red Fort,1378,Pleasant,Friday,No,None,14.0,2,Delhi NCR
2025-01-10,12:00,Red Fort,1645,Pleasant,Friday,No,None,15.2,2,Delhi NCR
2025-01-10,13:00,Red Fort,1645,Pleasant,Friday,No,None,16.4,2,Delhi NCR
2025-01-10,14:00,Red Fort,1378,Pleasant,Friday,No,None,17.6,2,Delhi NCR
2025-01-10,15:00,Red Fort,1111,Pleasant,Friday,No,None,18.8,2,Delhi NCR
2025-01-10,16:00,Red Fort,844,Pleasant,Friday,No,None,20.0,2,Delhi NCR
2025-01-11,09:00,Red Fort,1075,Pleasant,Saturday,No,None,11.6,2,Delhi NCR
2025-01-11,10:00,Red Fort,1414,Pleasant,Saturday,No,None,12.8,2,Delhi NCR
2025-01-11,11:00,Red Fort,1754,Pleasant,Saturday,No,None,14.0,2,Delhi NCR
2025-01-11,12:00,Red Fort,2092,Pleasant,Saturday,No,None,15.2,2,Delhi NCR
2025-01-11,13:00,Red Fort,2093,Pleasant,Saturday,No,None,16.4,2,Delhi NCR
2025-01-11,14:00,Red Fort,1754,Pleasant,Saturday,No,None,17.6,2,Delhi NCR
2025-01-11,15:00,Red Fort,1414,Pleasant,Saturday,No,None,18.8,2,Delhi NCR
2025-01-11,16:00,Red Fort,1075,Pleasant,Saturday,No,None,20.0,2,Delhi NCR
2025-01-12,09:00,Red Fort,1413,Pleasant,Sunday,Yes,None,11.6,2,Delhi NCR
2025-01-12,10:00,Red Fort,1859,Pleasant,Sunday,Yes,None,12.8,2,Delhi NCR
2025-01-12,11:00,Red Fort,2305,Pleasant,Sunday,Yes,None,14.0,2,Delhi NCR
2025-01-12,12:00,Red Fort,2749,Pleasant,Sunday,Yes,None,15.2,2,Delhi NCR
2025-01-12,13:00,Red Fort,2751,Pleasant,Sunday,Yes,None,16.4,2,Delhi NCR
2025-01-12,14:00,Red Fort,2305,Pleasant,Sunday,Yes,None,17.6,2,Delhi NCR
2025-01-12,15:00,Red Fort,1859,Pleasant,Sunday,Yes,None,18.8,2,Delhi NCR
2025-01-12,16:00,Red Fort,1413,Pleasant,Sunday,Yes,None,20.0,2,Delhi NCR
2025-01-13,09:00,Red Fort,768,Pleasant,Monday,No,None,11.6,3,Delhi NCR
2025-01-13,10:00,Red Fort,1010,Pleasant,Monday,No,None,12.8,3,Delhi NCR
2025-01-13,11:00,Red Fort,1253,Pleasant,Monday,No,None,14.0,3,Delhi NCR
2025-01-13,12:00,Red Fort,1494,Pleasant,Monday,No,None,15.2,3,Delhi NCR
2025-01-13,13:00,Red Fort,1495,Pleasant,Monday,No,None,16.4,3,Delhi NCR
2025-01-13,14:00,Red Fort,1253,Pleasant,Monday,No,None,17.6,3,Delhi NCR
2025-01-13,15:00,Red Fort,1010,Pleasant,Monday,No,None,18.8,3,Delhi NCR
2025-01-13,16:00,Red Fort,768,Pleasant,Monday,No,None,20.0,3,Delhi NCR
2025-01-14,09:00,Red Fort,768,Pleasant,Tuesday,No,None,11.6,3,Delhi NCR
2025-01-14,10:00,Red Fort,1010,Pleasant,Tuesday,No,None,12.8,3,Delhi NCR
2025-01-14,11:00,Red Fort,1253,Pleasant,Tuesday,No,None,14.0,3,Delhi NCR
2025-01-14,12:00,Red Fort,1494,Pleasant,Tuesday,No,None,15.2,3,Delhi NCR
2025-01-14,13:00,Red Fort,1495,Pleasant,Tuesday,No,None,16.4,3,Delhi NCR
2025-01-14,14:00,Red Fort,1253,Pleasant,Tuesday,No,None,17.6,3,Delhi NCR
2025-01-14,15:00,Red Fort,1010,Pleasant,Tuesday,No,None,18.8,3,Delhi NCR
2025-01-14,16:00,Red Fort,768,Pleasant,Tuesday,No,None,20.0,3,Delhi NCR
2025-01-15,09:00,Red Fort,768,Pleasant,Wednesday,No,None,11.6,3,Delhi NCR
2025-01-15,10:00,Red Fort,1010,Pleasant,Wednesday,No,None,12.8,3,Delhi NCR
2025-01-15,11:00,Red Fort,1253,Pleasant,Wednesday,No,None,14.0,3,Delhi NCR
2025-01-15,12:00,Red Fort,1494,Pleasant,Wednesday,No,None,15.2,3,Delhi NCR
2025-01-15,13:00,Red Fort,1495,Pleasant,Wednesday,No,None,16.4,3,Delhi NCR
2025-01-15,14:00,Red Fort,1253,Pleasant,Wednesday,No,None,17.6,3,Delhi NCR
2025-01-15,15:00,Red Fort,1010,Pleasant,Wednesday,No,None,18.8,3,Delhi NCR
2025-01-15,16:00,Red Fort,768,Pleasant,Wednesday,No,None,20.0,3,Delhi NCR
2025-01-16,09:00,Red Fort,768,Pleasant,Thursday,No,None,11.6,3,Delhi NCR
2025-01-16,10:00,Red Fort,1010,Pleasant,Thursday,No,None,12.8,3,Delhi NCR
2025-01-16,11:00,Red Fort,1253,Pleasant,Thursday,No,None,14.0,3,Delhi NCR
2025-01-16,12:00,Red Fort,1494,Pleasant,Thursday,No,None,15.2,3,Delhi NCR
2025-01-16,13:00,Red Fort,1495,Pleasant,Thursday,No,None,16.4,3,Delhi NCR
2025-01-16,14:00,Red Fort,1253,Pleasant,Thursday,No,None,17.6,3,Delhi NCR
2025-01-16,15:00,Red Fort,1010,Pleasant,Thursday,No,None,18.8,3,Delhi NCR
2025-01-16,16:00,Red Fort,768,Pleasant,Thursday,No,None,20.0,3,Delhi NCR
2025-01-17,09:00,Red Fort,844,Pleasant,Friday,No,None,11.6,3,Delhi NCR
2025-01-17,10:00,Red Fort,1111,Pleasant,Friday,No,None,12.8,3,Delhi NCR
2025-01-17,11:00,Red Fort,1378,Pleasant,Friday,No,None,14.0,3,Delhi NCR
2025-01-17,12:00,Red Fort,1645,Pleasant,Friday,No,None,15.2,3,Delhi NCR
2025-01-17,13:00,Red Fort,1645,Pleasant,Friday,No,None,16.4,3,Delhi NCR
2025-01-17,14:00,Red Fort,1378,Pleasant,Friday,No,None,17.6,3,Delhi NCR
2025-01-17,15:00,Red Fort,1111,Pleasant,Friday,No,None,18.8,3,Delhi NCR
2025-01-17,16:00,Red Fort,844,Pleasant,Friday,No,None,20.0,3,Delhi NCR
2025-01-18,09:00,Red Fort,1075,Pleasant,Saturday,No,None,11.6,3,Delhi NCR
2025-01-18,10:00,Red Fort,1414,Pleasant,Saturday,No,None,12.8,3,Delhi NCR
2025-01-18,11:00,Red Fort,1754,Pleasant,Saturday,No,None,14.0,3,Delhi NCR
2025-01-18,12:00,Red Fort,2092,Pleasant,Saturday,No,None,15.2,3,Delhi NCR
2025-01-18,13:00,Red Fort,2093,Pleasant,Saturday,No,None,16.4,3,Delhi NCR
2025-01-18,14:00,Red Fort,1754,Pleasant,Saturday,No,None,17.6,3,Delhi NCR
2025-01-18,15:00,Red Fort,1414,Pleasant,Saturday,No,None,18.8,3,Delhi NCR
2025-01-18,16:00,Red Fort,1075,Pleasant,Saturday,No,None,20.0,3,Delhi NCR
2025-01-19,09:00,Red Fort,1413,Pleasant,Sunday,Yes,None,11.6,3,Delhi NCR
2025-01-19,10:00,Red Fort,1859,Pleasant,Sunday,Yes,None,12.8,3,Delhi NCR
2025-01-19,11:00,Red Fort,2305,Pleasant,Sunday,Yes,None,14.0,3,Delhi NCR
2025-01-19,12:00,Red Fort,2749,Pleasant,Sunday,Yes,None,15.2,3,Delhi NCR
2025-01-19,13:00,Red Fort,2751,Pleasant,Sunday,Yes,None,16.4,3,Delhi NCR
2025-01-19,14:00,Red Fort,2305,Pleasant,Sunday,Yes,None,17.6,3,Delhi NCR
2025-01-19,15:00,Red Fort,1859,Pleasant,Sunday,Yes,None,18.8,3,Delhi NCR
2025-01-19,16:00,Red Fort,1413,Pleasant,Sunday,Yes,None,20.0,3,Delhi NCR
2025-01-20,09:00,Red Fort,768,Pleasant,Monday,No,None,11.6,4,Delhi NCR
2025-01-20,10:00,Red Fort,1010,Pleasant,Monday,No,None,12.8,4,Delhi NCR
2025-01-20,11:00,Red Fort,1253,Pleasant,Monday,No,None,14.0,4,Delhi NCR
2025-01-20,12:00,Red Fort,1494,Pleasant,Monday,No,None,15.2,4,Delhi NCR
2025-01-20,13:00,Red Fort,1495,Pleasant,Monday,No,None,16.4,4,Delhi NCR
2025-01-20,14:00,Red Fort,1253,Pleasant,Monday,No,None,17.6,4,Delhi NCR
2025-01-20,15:00,Red Fort,1010,Pleasant,Monday,No,None,18.8,4,Delhi NCR
2025-01-20,16:00,Red Fort,768,Pleasant,Monday,No,None,20.0,4,Delhi NCR
2025-01-21,09:00,Red Fort,768,Pleasant,Tuesday,No,None,11.6,4,Delhi NCR
2025-01-21,10:00,Red Fort,1010,Pleasant,Tuesday,No,None,12.8,4,Delhi NCR
2025-01-21,11:00,Red Fort,1253,Pleasant,Tuesday,No,None,14.0,4,Delhi NCR
2025-01-21,12:00,Red Fort,1494,Pleasant,Tuesday,No,None,15.2,4,Delhi NCR
2025-01-21,13:00,Red Fort,1495,Pleasant,Tuesday,No,None,16.4,4,Delhi NCR
2025-01-21,14:00,Red Fort,1253,Pleasant,Tuesday,No,None,17.6,4,Delhi NCR
2025-01-21,15:00,Red Fort,1010,Pleasant,Tuesday,No,None,18.8,4,Delhi NCR
2025-01-21,16:00,Red Fort,768,Pleasant,Tuesday,No,None,20.0,4,Delhi NCR
2025-01-22,09:00,Red Fort,768,Pleasant,Wednesday,No,None,11.6,4,Delhi NCR
2025-01-22,10:00,Red Fort,1010,Pleasant,Wednesday,No,None,12.8,4,Delhi NCR
2025-01-22,11:00,Red Fort,1253,Pleasant,Wednesday,No,None,14.0,4,Delhi NCR
2025-01-22,12:00,Red Fort,1494,Pleasant,Wednesday,No,None,15.2,4,Delhi NCR
2025-01-22,13:00,Red Fort,1495,Pleasant,Wednesday,No,None,16.4,4,Delhi NCR
2025-01-22,14:00,Red Fort,1253,Pleasant,Wednesday,No,None,17.6,4,Delhi NCR
2025-01-22,15:00,Red Fort,1010,Pleasant,Wednesday,No,None,18.8,4,Delhi NCR
2025-01-22,16:00,Red Fort,768,Pleasant,Wednesday,No,None,20.0,4,Delhi NCR
2025-01-23,09:00,Red Fort,768,Pleasant,Thursday,No,None,11.6,4,Delhi NCR
2025-01-23,10:00,Red Fort,1010,Pleasant,Thursday,No,None,12.8,4,Delhi NCR
2025-01-23,11:00,Red Fort,1253,Pleasant,Thursday,No,None,14.0,4,Delhi NCR
2025-01-23,12:00,Red Fort,1494,Pleasant,Thursday,No,None,15.2,4,Delhi NCR
2025-01-23,13:00,Red Fort,1495,Pleasant,Thursday,No,None,16.4,4,Delhi NCR
2025-01-23,14:00,Red Fort,1253,Pleasant,Thursday,No,None,17.6,4,Delhi NCR
2025-01-23,15:00,Red Fort,1010,Pleasant,Thursday,No,None,18.8,4,Delhi NCR
2025-01-23,16:00,Red Fort,768,Pleasant,Thursday,No,None,20.0,4,Delhi NCR
2025-01-24,09:00,Red Fort,844,Pleasant,Friday,No,None,11.6,4,Delhi NCR
2025-01-24,10:00,Red Fort,1111,Pleasant,Friday,No,None,12.8,4,Delhi NCR
2025-01-24,11:00,Red Fort,1378,Pleasant,Friday,No,None,14.0,4,Delhi NCR
2025-01-24,12:00,Red Fort,1645,Pleasant,Friday,No,None,15.2,4,Delhi NCR
2025-01-24,13:00,Red Fort,1645,Pleasant,Friday,No,None,16.4,4,Delhi NCR
2025-01-24,14:00,Red Fort,1378,Pleasant,Friday,No,None,17.6,4,Delhi NCR
2025-01-24,15:00,Red Fort,1111,Pleasant,Friday,No,None,18.8,4,Delhi NCR
2025-01-24,16:00,Red Fort,844,Pleasant,Friday,No,None,20.0,4,Delhi NCR
2025-01-25,09:00,Red Fort,1075,Pleasant,Saturday,No,None,11.6,4,Delhi NCR
2025-01-25,10:00,Red Fort,1414,Pleasant,Saturday,No,None,12.8,4,Delhi NCR
2025-01-25,11:00,Red Fort,1754,Pleasant,Saturday,No,None,14.0,4,Delhi NCR
2025-01-25,12:00,Red Fort,2092,Pleasant,Saturday,No,None,15.2,4,Delhi NCR
2025-01-25,13:00,Red Fort,2093,Pleasant,Saturday,No,None,16.4,4,Delhi NCR
2025-01-25,14:00,Red Fort,1754,Pleasant,Saturday,No,None,17.6,4,Delhi NCR
2025-01-25,15:00,Red Fort,1414,Pleasant,Saturday,No,None,18.8,4,Delhi NCR
2025-01-25,16:00,Red Fort,1075,Pleasant,Saturday,No,None,20.0,4,Delhi NCR
2025-01-26,09:00,Red Fort,1413,Pleasant,Sunday,Yes,None,11.6,4,Delhi NCR
2025-01-26,10:00,Red Fort,1859,Pleasant,Sunday,Yes,None,12.8,4,Delhi NCR
2025-01-26,11:00,Red Fort,2305,Pleasant,Sunday,Yes,None,14.0,4,Delhi NCR
2025-01-26,12:00,Red Fort,2749,Pleasant,Sunday,Yes,None,15.2,4,Delhi NCR
2025-01-26,13:00,Red Fort,2751,Pleasant,Sunday,Yes,None,16.4,4,Delhi NCR
2025-01-26,14:00,Red Fort,2305,Pleasant,Sunday,Yes,None,17.6,4,Delhi NCR
2025-01-26,15:00,Red Fort,1859,Pleasant,Sunday,Yes,None,18.8,4,Delhi NCR
2025-01-26,16:00,Red Fort,1413,Pleasant,Sunday,Yes,None,20.0,4,Delhi NCR
2025-01-27,09:00,Red Fort,768,Pleasant,Monday,No,None,11.6,5,Delhi NCR
2025-01-27,10:00,Red Fort,1010,Pleasant,Monday,No,None,12.8,5,Delhi NCR
2025-01-27,11:00,Red Fort,1253,Pleasant,Monday,No,None,14.0,5,Delhi NCR
2025-01-27,12:00,Red Fort,1494,Pleasant,Monday,No,None,15.2,5,Delhi NCR
2025-01-27,13:00,Red Fort,1495,Pleasant,Monday,No,None,16.4,5,Delhi NCR
2025-01-27,14:00,Red Fort,1253,Pleasant,Monday,No,None,17.6,5,Delhi NCR
2025-01-27,15:00,Red Fort,1010,Pleasant,Monday,No,None,18.8,5,Delhi NCR
2025-01-27,16:00,Red Fort,768,Pleasant,Monday,No,None,20.0,5,Delhi NCR
2025-01-28,09:00,Red Fort,768,Pleasant,Tuesday,No,None,11.6,5,Delhi NCR
2025-01-28,10:00,Red Fort,1010,Pleasant,Tuesday,No,None,12.8,5,Delhi NCR
2025-01-28,11:00,Red Fort,1253,Pleasant,Tuesday,No,None,14.0,5,Delhi NCR
2025-01-28,12:00,Red Fort,1494,Pleasant,Tuesday,No,None,15.2,5,Delhi NCR
2025-01-28,13:00,Red Fort,1495,Pleasant,Tuesday,No,None,16.4,5,Delhi NCR
2025-01-28,14:00,Red Fort,1253,Pleasant,Tuesday,No,None,17.6,5,Delhi NCR
2025-01-28,15:00,Red Fort,1010,Pleasant,Tuesday,No,None,18.8,5,Delhi NCR
2025-01-28,16:00,Red Fort,768,Pleasant,Tuesday,No,None,20.0,5,Delhi NCR
2025-01-29,09:00,Red Fort,768,Pleasant,Wednesday,No,None,11.6,5,Delhi NCR
2025-01-29,10:00,Red Fort,1010,Pleasant,Wednesday,No,None,12.8,5,Delhi NCR
2025-01-29,11:00,Red Fort,1253,Pleasant,Wednesday,No,None,14.0,5,Delhi NCR
2025-01-29,12:00,Red Fort,1494,Pleasant,Wednesday,No,None,15.2,5,Delhi NCR
2025-01-29,13:00,Red Fort,1495,Pleasant,Wednesday,No,None,16.4,5,Delhi NCR
2025-01-29,14:00,Red Fort,1253,Pleasant,Wednesday,No,None,17.6,5,Delhi NCR
2025-01-29,15:00,Red Fort,1010,Pleasant,Wednesday,No,None,18.8,5,Delhi NCR
2025-01-29,16:00,Red Fort,768,Pleasant,Wednesday,No,None,20.0,5,Delhi NCR
2025-01-30,09:00,Red Fort,768,Pleasant,Thursday,No,None,11.6,5,Delhi NCR
2025-01-30,10:00,Red Fort,1010,Pleasant,Thursday,No,None,12.8,5,Delhi NCR
2025-01-30,11:00,Red Fort,1253,Pleasant,Thursday,No,None,14.0,5,Delhi NCR
2025-01-30,12:00,Red Fort,1494,Pleasant,Thursday,No,None,15.2,5,Delhi NCR
2025-01-30,13:00,Red Fort,1495,Pleasant,Thursday,No,None,16.4,5,Delhi NCR
2025-01-30,14:00,Red Fort,1253,Pleasant,Thursday,No,None,17.6,5,Delhi NCR
2025-01-30,15:00,Red Fort,1010,Pleasant,Thursday,No,None,18.8,5,Delhi NCR
2025-01-30,16:00,Red Fort,768,Pleasant,Thursday,No,None,20.0,5,Delhi NCR
2025-01-31,09:00,Red Fort,844,Pleasant,Friday,No,None,11.6,5,Delhi NCR
2025-01-31,10:00,Red Fort,1111,Pleasant,Friday,No,None,12.8,5,Delhi NCR
2025-01-31,11:00,Red Fort,1378,Pleasant,Friday,No,None,14.0,5,Delhi NCR
2025-01-31,12:00,Red Fort,1645,Pleasant,Friday,No,None,15.2,5,Delhi NCR
2025-01-31,13:00,Red Fort,1645,Pleasant,Friday,No,None,16.4,5,Delhi NCR
2025-01-31,14:00,Red Fort,1378,Pleasant,Friday,No,None,17.6,5,Delhi NCR
2025-01-31,15:00,Red Fort,1111,Pleasant,Friday,No,None,18.8,5,Delhi NCR
2025-01-31,16:00,Red Fort,844,Pleasant,Friday,No,None,20.0,5,Delhi NCR
2025-02-01,09:00,Red Fort,1068,Pleasant,Saturday,No,None,11.6,5,Delhi NCR
2025-02-01,10:00,Red Fort,1405,Pleasant,Saturday,No,None,12.8,5,Delhi NCR
2025-02-01,11:00,Red Fort,1742,Pleasant,Saturday,No,None,14.0,5,Delhi NCR
2025-02-01,12:00,Red Fort,2080,Pleasant,Saturday,No,None,15.2,5,Delhi NCR
2025-02-01,13:00,Red Fort,2080,Pleasant,Saturday,No,None,16.4,5,Delhi NCR
2025-02-01,14:00,Red Fort,1742,Pleasant,Saturday,No,None,17.6,5,Delhi NCR
2025-02-01,15:00,Red Fort,1405,Pleasant,Saturday,No,None,18.8,5,Delhi NCR
2025-02-01,16:00,Red Fort,1068,Pleasant,Saturday,No,None,20.0,5,Delhi NCR
2025-02-02,09:00,Red Fort,1404,Pleasant,Sunday,Yes,None,11.6,5,Delhi NCR
2025-02-02,10:00,Red Fort,1847,Pleasant,Sunday,Yes,None,12.8,5,Delhi NCR
2025-02-02,11:00,Red Fort,2290,Pleasant,Sunday,Yes,None,14.0,5,Delhi NCR
2025-02-02,12:00,Red Fort,2732,Pleasant,Sunday,Yes,None,15.2,5,Delhi NCR
2025-02-02,13:00,Red Fort,2733,Pleasant,Sunday,Yes,None,16.4,5,Delhi NCR
2025-02-02,14:00,Red Fort,2290,Pleasant,Sunday,Yes,None,17.6,5,Delhi NCR
2025-02-02,15:00,Red Fort,1847,Pleasant,Sunday,Yes,None,18.8,5,Delhi NCR
2025-02-02,16:00,Red Fort,1404,Pleasant,Sunday,Yes,None,20.0,5,Delhi NCR
2025-02-03,09:00,Red Fort,763,Pleasant,Monday,No,None,11.6,6,Delhi NCR
2025-02-03,10:00,Red Fort,1004,Pleasant,Monday,No,None,12.8,6,Delhi NCR
2025-02-03,11:00,Red Fort,1245,Pleasant,Monday,No,None,14.0,6,Delhi NCR
2025-02-03,12:00,Red Fort,1484,Pleasant,Monday,No,None,15.2,6,Delhi NCR
2025-02-03,13:00,Red Fort,1485,Pleasant,Monday,No,None,16.4,6,Delhi NCR
2025-02-03,14:00,Red Fort,1245,Pleasant,Monday,No,None,17.6,6,Delhi NCR
2025-02-03,15:00,Red Fort,1004,Pleasant,Monday,No,None,18.8,6,Delhi NCR
2025-02-03,16:00,Red Fort,763,Pleasant,Monday,No,None,20.0,6,Delhi NCR
2025-02-04,09:00,Red Fort,763,Pleasant,Tuesday,No,None,11.6,6,Delhi NCR
2025-02-04,10:00,Red Fort,1004,Pleasant,Tuesday,No,None,12.8,6,Delhi NCR
2025-02-04,11:00,Red Fort,1245,Pleasant,Tuesday,No,None,14.0,6,Delhi NCR
2025-02-04,12:00,Red Fort,1484,Pleasant,Tuesday,No,None,15.2,6,Delhi NCR
2025-02-04,13:00,Red Fort,1485,Pleasant,Tuesday,No,None,16.4,6,Delhi NCR
2025-02-04,14:00,Red Fort,1245,Pleasant,Tuesday,No,None,17.6,6,Delhi NCR
2025-02-04,15:00,Red Fort,1004,Pleasant,Tuesday,No,None,18.8,6,Delhi NCR
2025-02-04,16:00,Red Fort,763,Pleasant,Tuesday,No,None,20.0,6,Delhi NCR
2025-02-05,09:00,Red Fort,763,Pleasant,Wednesday,No,None,11.6,6,Delhi NCR
2025-02-05,10:00,Red Fort,1004,Pleasant,Wednesday,No,None,12.8,6,Delhi NCR
